Date,Time,Token,Transaction,Quantity,Price
1/1,1:00,SOL,BUY,75,120
1/2,2:00,BTC,BUY,31,60000
1/3,3:00,ETH,BUY,64,3200
1/4,4:00,LTC,BUY,74,89
1/5,5:00,BNB,BUY,51,394
1/6,6:00,DOGE,BUY,13,0.14
1/7,7:00,ADA,BUY,28,0.8
1/8,8:00,XRP,BUY,70,0.65
1/9,9:00,AVAX,BUY,25,45
1/10,10:00,LINK,BUY,91,25
1/11,11:00,SOL,SELL,75,128
1/12,12:00,BTC,SELL,31,61000
1/13,13:00,ETH,SELL,64,3400
1/14,14:00,LTC,SELL,74,91
1/15,15:00,BNB,SELL,51,405
1/16,16:00,DOGE,SELL,13,0.12
1/17,17:00,ADA,SELL,28,0.7
1/18,18:00,XRP,SELL,70,0.6
1/19,19:00,AVAX,SELL,25,40
1/20,20:00,LINK,SELL,91,20
